name,display_name,pubmed_occurrence
dental enamel hypoplasia,Dental Enamel Hypoplasia,512
"syphilis, cutaneous","Syphilis, Cutaneous",511
vascular malformations,Vascular Malformations,510
"dyslexia, acquired","Dyslexia, Acquired",509
"carcinoma, large cell","Carcinoma, Large Cell",508
"colitis, ischemic","Colitis, Ischemic",508
"sarcoma, avian","Sarcoma, Avian",507
rare diseases,Rare Diseases,507
factor vii deficiency,Factor VII Deficiency,506
mite infestations,Mite Infestations,505
dextrocardia,Dextrocardia,505
tooth injuries,Tooth Injuries,504
"vitreoretinopathy, proliferative","Vitreoretinopathy, Proliferative",504
"embolism, cholesterol","Embolism, Cholesterol",504
"tuberculosis, hepatic","Tuberculosis, Hepatic",503
"cystadenocarcinoma, papillary","Cystadenocarcinoma, Papillary",502
kidney papillary necrosis,Kidney Papillary Necrosis,502
pneumopericardium,Pneumopericardium,502
endarteritis,Endarteritis,502
paragonimiasis,Paragonimiasis,501
protein s deficiency,Protein S Deficiency,501
tracheitis,Tracheitis,500
adams-stokes syndrome,Adams-Stokes Syndrome,500
hyperlipoproteinemia type iv,Hyperlipoproteinemia Type IV,500
"arthritis, gouty","Arthritis, Gouty",499
otitis,Otitis,499
chondroblastoma,Chondroblastoma,498
dermatofibrosarcoma,Dermatofibrosarcoma,498
cheilitis,Cheilitis,498
mutism,Mutism,497
heavy chain disease,Heavy Chain Disease,496
synostosis,Synostosis,495
poems syndrome,POEMS Syndrome,494
blepharitis,Blepharitis,494
epidural abscess,Epidural Abscess,493
vitreous hemorrhage,Vitreous Hemorrhage,493
focal nodular hyperplasia,Focal Nodular Hyperplasia,491
calciphylaxis,Calciphylaxis,491
"jaw, edentulous, partially","Jaw, Edentulous, Partially",490
hoarseness,Hoarseness,490
hypoprothrombinemias,Hypoprothrombinemias,490
atrophy,Atrophy,490
jaw abnormalities,Jaw Abnormalities,488
fat necrosis,Fat Necrosis,488
acanthamoeba keratitis,Acanthamoeba Keratitis,486
feline acquired immunodeficiency syndrome,Feline Acquired Immunodeficiency Syndrome,485
porcine reproductive and respiratory syndrome,Porcine Reproductive and Respiratory Syndrome,484
"hamartoma syndrome, multiple","Hamartoma Syndrome, Multiple",484
encephalomalacia,Encephalomalacia,484
atrioventricular block,Atrioventricular Block,484
lichen sclerosus et atrophicus,Lichen Sclerosus et Atrophicus,483
dysentery,Dysentery,482
stomach rupture,Stomach Rupture,482
bone marrow neoplasms,Bone Marrow Neoplasms,481
melena,Melena,481
ketosis,Ketosis,481
"tachycardia, ectopic atrial","Tachycardia, Ectopic Atrial",480
coronary occlusion,Coronary Occlusion,480
gilbert disease,Gilbert Disease,479
stomach volvulus,Stomach Volvulus,478
hypokinesia,Hypokinesia,478
corneal edema,Corneal Edema,478
focal infection,Focal Infection,477
cleidocranial dysplasia,Cleidocranial Dysplasia,477
ureterocele,Ureterocele,477
alphavirus infections,Alphavirus Infections,476
myotonia congenita,Myotonia Congenita,476
thrombasthenia,Thrombasthenia,476
"amnesia, retrograde","Amnesia, Retrograde",475
dengue hemorrhagic fever,Dengue Hemorrhagic Fever,472
adenomatous polyps,Adenomatous Polyps,472
submandibular gland diseases,Submandibular Gland Diseases,472
"trypanosomiasis, bovine","Trypanosomiasis, Bovine",471
"pneumonia, ventilator-associated","Pneumonia, Ventilator-Associated",470
chromoblastomycosis,Chromoblastomycosis,470
dentigerous cyst,Dentigerous Cyst,470
forearm injuries,Forearm Injuries,470
rheumatoid nodule,Rheumatoid Nodule,469
tinea versicolor,Tinea Versicolor,468
postpoliomyelitis syndrome,Postpoliomyelitis Syndrome,468
"vasculitis, central nervous system","Vasculitis, Central Nervous System",468
"anemia, refractory","Anemia, Refractory",468
lambert-eaton myasthenic syndrome,Lambert-Eaton Myasthenic Syndrome,467
pica,Pica,467
trichotillomania,Trichotillomania,467
angiofibroma,Angiofibroma,466
tooth demineralization,Tooth Demineralization,466
optic nerve injuries,Optic Nerve Injuries,466
endodermal sinus tumor,Endodermal Sinus Tumor,465
pseudomyxoma peritonei,Pseudomyxoma Peritonei,465
hyperammonemia,Hyperammonemia,465
hemangioblastoma,Hemangioblastoma,464
endocrine gland neoplasms,Endocrine Gland Neoplasms,463
serum sickness,Serum Sickness,463
rocky mountain spotted fever,Rocky Mountain Spotted Fever,462
lymphomatoid granulomatosis,Lymphomatoid Granulomatosis,462
achlorhydria,Achlorhydria,462
hypovolemia,Hypovolemia,462
"conjunctivitis, bacterial","Conjunctivitis, Bacterial",461
microsporidiosis,Microsporidiosis,461
"bone cysts, aneurysmal","Bone Cysts, Aneurysmal",461
dystonia musculorum deformans,Dystonia Musculorum Deformans,461
"pancreatitis, alcoholic","Pancreatitis, Alcoholic",460
"cystic adenomatoid malformation of lung, congenital","Cystic Adenomatoid Malformation of Lung, Congenital",460
polydactyly,Polydactyly,459
"sleep apnea, central","Sleep Apnea, Central",459
dysthymic disorder,Dysthymic Disorder,459
brain stem neoplasms,Brain Stem Neoplasms,458
presbyopia,Presbyopia,458
endocardial fibroelastosis,Endocardial Fibroelastosis,458
neurasthenia,Neurasthenia,458
anaplasmosis,Anaplasmosis,457
reoviridae infections,Reoviridae Infections,457
spondylarthropathies,Spondylarthropathies,457
avitaminosis,Avitaminosis,457
spondylolysis,Spondylolysis,456
"porphyria, acute intermittent","Porphyria, Acute Intermittent",456
"stomatitis, denture","Stomatitis, Denture",455
"hypertrophy, right ventricular","Hypertrophy, Right Ventricular",455
lymphogranuloma venereum,Lymphogranuloma Venereum,454
pierre robin syndrome,Pierre Robin Syndrome,454
uveal diseases,Uveal Diseases,454
leukoplakia,Leukoplakia,453
lung injury,Lung Injury,452
dandy-walker syndrome,Dandy-Walker Syndrome,452
alkaptonuria,Alkaptonuria,452
boutonneuse fever,Boutonneuse Fever,451
roseolovirus infections,Roseolovirus Infections,451
"optic atrophy, hereditary, leber","Optic Atrophy, Hereditary, Leber",451
multiple chemical sensitivity,Multiple Chemical Sensitivity,451
impetigo,Impetigo,450
"carcinoma, ductal","Carcinoma, Ductal",450
"embolism, amniotic fluid","Embolism, Amniotic Fluid",450
"pregnancy, abdominal","Pregnancy, Abdominal",450
chediak-higashi syndrome,Chediak-Higashi Syndrome,449
activated protein c resistance,Activated Protein C Resistance,448
"neoplasms, nerve tissue","Neoplasms, Nerve Tissue",447
hereditary sensory and autonomic neuropathies,Hereditary Sensory and Autonomic Neuropathies,447
granuloma annulare,Granuloma Annulare,447
osteoradionecrosis,Osteoradionecrosis,447
"leprosy, tuberculoid","Leprosy, Tuberculoid",446
superinfection,Superinfection,444
arsenic poisoning,Arsenic Poisoning,444
xerophthalmia,Xerophthalmia,444
somatosensory disorders,Somatosensory Disorders,443
vulvovaginitis,Vulvovaginitis,443
"typhus, epidemic louse-borne","Typhus, Epidemic Louse-Borne",442
central nervous system infections,Central Nervous System Infections,442
"sarcoma, myeloid","Sarcoma, Myeloid",442
postoperative nausea and vomiting,Postoperative Nausea and Vomiting,442
"abortion, septic","Abortion, Septic",441
vesicovaginal fistula,Vesicovaginal Fistula,441
lithiasis,Lithiasis,441
"rhabdomyosarcoma, embryonal","Rhabdomyosarcoma, Embryonal",439
weil disease,Weil Disease,438
radicular cyst,Radicular Cyst,437
"hemangioma, cavernous, central nervous system","Hemangioma, Cavernous, Central Nervous System",437
leukemic infiltration,Leukemic Infiltration,437
"cardiomyopathy, alcoholic","Cardiomyopathy, Alcoholic",436
drug toxicity,Drug Toxicity,436
"gonadal dysgenesis, 46,xy","Gonadal Dysgenesis, 46,XY",435
"embolism, paradoxical","Embolism, Paradoxical",435
bell palsy,Bell Palsy,434
angiodysplasia,Angiodysplasia,433
tumor lysis syndrome,Tumor Lysis Syndrome,433
crush syndrome,Crush Syndrome,433
rhinoscleroma,Rhinoscleroma,432
anomia,Anomia,432
oligohydramnios,Oligohydramnios,432
agraphia,Agraphia,431
hyperglycemic hyperosmolar nonketotic coma,Hyperglycemic Hyperosmolar Nonketotic Coma,431
"granuloma, pyogenic","Granuloma, Pyogenic",431
leukemia l5178,Leukemia L5178,430
ileus,Ileus,430
adrenocortical carcinoma,Adrenocortical Carcinoma,428
klippel-feil syndrome,Klippel-Feil Syndrome,428
exotropia,Exotropia,426
"acth syndrome, ectopic","ACTH Syndrome, Ectopic",425
burning mouth syndrome,Burning Mouth Syndrome,425
spinal cord ischemia,Spinal Cord Ischemia,425
trismus,Trismus,425
splenic infarction,Splenic Infarction,425
colonic pseudo-obstruction,Colonic Pseudo-Obstruction,424
"albinism, oculocutaneous","Albinism, Oculocutaneous",424
"hemangioendothelioma, epithelioid","Hemangioendothelioma, Epithelioid",423
riboflavin deficiency,Riboflavin Deficiency,422
"osteolysis, essential","Osteolysis, Essential",421
hypoplastic left heart syndrome,Hypoplastic Left Heart Syndrome,421
meconium aspiration syndrome,Meconium Aspiration Syndrome,420
adrenocortical adenoma,Adrenocortical Adenoma,419
pituitary apoplexy,Pituitary Apoplexy,419
hypoproteinemia,Hypoproteinemia,419
thyroid crisis,Thyroid Crisis,419
borrelia infections,Borrelia Infections,418
gastrinoma,Gastrinoma,418
tricuspid valve stenosis,Tricuspid Valve Stenosis,417
iga deficiency,IgA Deficiency,417
thymus hyperplasia,Thymus Hyperplasia,416
hypertrophy,Hypertrophy,416
"fatty liver, alcoholic","Fatty Liver, Alcoholic",414
dna virus infections,DNA Virus Infections,413
ochronosis,Ochronosis,413
larva migrans,Larva Migrans,412
"paraneoplastic syndromes, nervous system","Paraneoplastic Syndromes, Nervous System",412
fecal impaction,Fecal Impaction,412
"neoplasms, neuroepithelial","Neoplasms, Neuroepithelial",411
kearns-sayre syndrome,Kearns-Sayre Syndrome,411
cerebrospinal fluid otorrhea,Cerebrospinal Fluid Otorrhea,411
leukorrhea,Leukorrhea,411
histiocytic necrotizing lymphadenitis,Histiocytic Necrotizing Lymphadenitis,411
jaw cysts,Jaw Cysts,410
intestinal volvulus,Intestinal Volvulus,410
"akathisia, drug-induced","Akathisia, Drug-Induced",410
torsion abnormality,Torsion Abnormality,410
optic nerve neoplasms,Optic Nerve Neoplasms,409
melkersson-rosenthal syndrome,Melkersson-Rosenthal Syndrome,409
"twins, conjoined","Twins, Conjoined",409
hypophosphatasia,Hypophosphatasia,409
serotonin syndrome,Serotonin Syndrome,409
heat stroke,Heat Stroke,409
"aphasia, wernicke","Aphasia, Wernicke",408
vitamin b deficiency,Vitamin B Deficiency,408
"leukemia, myeloid, chronic-phase","Leukemia, Myeloid, Chronic-Phase",407
olivopontocerebellar atrophies,Olivopontocerebellar Atrophies,407
pseudolymphoma,Pseudolymphoma,407
glycogen storage disease type v,Glycogen Storage Disease Type V,406
biliary dyskinesia,Biliary Dyskinesia,405
"malocclusion, angle class i","Malocclusion, Angle Class I",405
lacerations,Lacerations,405
cutis laxa,Cutis Laxa,404
"carcinoma, embryonal","Carcinoma, Embryonal",403
"cardiomyopathy, restrictive","Cardiomyopathy, Restrictive",402
odontoma,Odontoma,401
cockayne syndrome,Cockayne Syndrome,401
sunburn,Sunburn,401
fluoride poisoning,Fluoride Poisoning,401
tick infestations,Tick Infestations,397
"cystadenocarcinoma, mucinous","Cystadenocarcinoma, Mucinous",397
burkholderia infections,Burkholderia Infections,396
"stomatitis, herpetic","Stomatitis, Herpetic",396
ganglioglioma,Ganglioglioma,396
subphrenic abscess,Subphrenic Abscess,395
glomus jugulare tumor,Glomus Jugulare Tumor,395
cochlear diseases,Cochlear Diseases,395
abducens nerve diseases,Abducens Nerve Diseases,395
ancylostomiasis,Ancylostomiasis,394
hallux valgus,Hallux Valgus,394
autoimmune diseases of the nervous system,Autoimmune Diseases of the Nervous System,394
"bronchitis, chronic","Bronchitis, Chronic",393
frontotemporal dementia,Frontotemporal Dementia,393
balanitis,Balanitis,393
bacteroidaceae infections,Bacteroidaceae Infections,392
borna disease,Borna Disease,392
amelogenesis imperfecta,Amelogenesis Imperfecta,392
vestibulocochlear nerve diseases,Vestibulocochlear Nerve Diseases,392
"epilepsy, post-traumatic","Epilepsy, Post-Traumatic",392
corneal neovascularization,Corneal Neovascularization,392
lens diseases,Lens Diseases,392
pulmonary atresia,Pulmonary Atresia,392
"constriction, pathologic","Constriction, Pathologic",392
wallerian degeneration,Wallerian Degeneration,392
"larva migrans, visceral","Larva Migrans, Visceral",391
glucagonoma,Glucagonoma,391
subdural effusion,Subdural Effusion,391
"pyelonephritis, xanthogranulomatous","Pyelonephritis, Xanthogranulomatous",391
hypohidrosis,Hypohidrosis,391
colles' fracture,Colles' Fracture,391
peritonsillar abscess,Peritonsillar Abscess,390
bluetongue,Bluetongue,390
"epilepsy, reflex","Epilepsy, Reflex",390
de lange syndrome,De Lange Syndrome,390
factor v deficiency,Factor V Deficiency,390
mesenteric cyst,Mesenteric Cyst,389
"tooth, nonvital","Tooth, Nonvital",389
bloom syndrome,Bloom Syndrome,389
yersinia pseudotuberculosis infections,Yersinia pseudotuberculosis Infections,388
radiation pneumonitis,Radiation Pneumonitis,387
machado-joseph disease,Machado-Joseph Disease,387
pulmonary valve insufficiency,Pulmonary Valve Insufficiency,387
felty's syndrome,Felty's Syndrome,386
sialorrhea,Sialorrhea,386
azoospermia,Azoospermia,386
hyperoxaluria,Hyperoxaluria,386
"cystadenoma, serous","Cystadenoma, Serous",385
"carcinoma, verrucous","Carcinoma, Verrucous",385
bladder exstrophy,Bladder Exstrophy,385
incontinentia pigmenti,Incontinentia Pigmenti,385
periostitis,Periostitis,384
"skin diseases, viral","Skin Diseases, Viral",384
"myelinolysis, central pontine","Myelinolysis, Central Pontine",384
"anemia, refractory, with excess of blasts","Anemia, Refractory, with Excess of Blasts",384
histiocytosis,Histiocytosis,384
suppuration,Suppuration,383
aids-associated nephropathy,AIDS-Associated Nephropathy,383
thecoma,Thecoma,383
"hyperostosis, diffuse idiopathic skeletal","Hyperostosis, Diffuse Idiopathic Skeletal",383
lymphangiectasis,Lymphangiectasis,383
pellagra,Pellagra,383
dyspareunia,Dyspareunia,382
ureaplasma infections,Ureaplasma Infections,381
poxviridae infections,Poxviridae Infections,381
environmental illness,Environmental Illness,380
scleral diseases,Scleral Diseases,379
legionellosis,Legionellosis,378
salivary duct calculi,Salivary Duct Calculi,378
"neuritis, autoimmune, experimental","Neuritis, Autoimmune, Experimental",378
"eye diseases, hereditary","Eye Diseases, Hereditary",378
gliosarcoma,Gliosarcoma,377
"elliptocytosis, hereditary","Elliptocytosis, Hereditary",377
furunculosis,Furunculosis,376
sertoli cell tumor,Sertoli Cell Tumor,376
hemifacial spasm,Hemifacial Spasm,376
waardenburg's syndrome,Waardenburg's Syndrome,376
"diabetes insipidus, nephrogenic","Diabetes Insipidus, Nephrogenic",375
"anemia, hemolytic, congenital nonspherocytic","Anemia, Hemolytic, Congenital Nonspherocytic",375
pilomatrixoma,Pilomatrixoma,374
keratoconjunctivitis sicca,Keratoconjunctivitis Sicca,374
"hyperoxaluria, primary","Hyperoxaluria, Primary",374
monoclonal gammopathy of undetermined significance,Monoclonal Gammopathy of Undetermined Significance,374
periapical granuloma,Periapical Granuloma,373
phagocyte bactericidal dysfunction,Phagocyte Bactericidal Dysfunction,373
"chondromatosis, synovial","Chondromatosis, Synovial",372
carotid-cavernous sinus fistula,Carotid-Cavernous Sinus Fistula,372
muscle hypertonia,Muscle Hypertonia,371
"gingivitis, necrotizing ulcerative","Gingivitis, Necrotizing Ulcerative",369
chancroid,Chancroid,369
ectoparasitic infestations,Ectoparasitic Infestations,369
funnel chest,Funnel Chest,369
"nose deformities, acquired","Nose Deformities, Acquired",369
urogenital abnormalities,Urogenital Abnormalities,369
kernicterus,Kernicterus,368
necrobiosis lipoidica,Necrobiosis Lipoidica,368
persian gulf syndrome,Persian Gulf Syndrome,368
lathyrism,Lathyrism,368
encopresis,Encopresis,368
"empyema, subdural","Empyema, Subdural",367
"uveitis, posterior","Uveitis, Posterior",367
swayback,Swayback,367
"hernia, abdominal","Hernia, Abdominal",367
iliac aneurysm,Iliac Aneurysm,366
"carcinoma, acinar cell","Carcinoma, Acinar Cell",365
"nevus, blue","Nevus, Blue",365
central nervous system cysts,Central Nervous System Cysts,365
"osteoarthropathy, primary hypertrophic","Osteoarthropathy, Primary Hypertrophic",365
pulmonary veno-occlusive disease,Pulmonary Veno-Occlusive Disease,365
hyperesthesia,Hyperesthesia,365
anophthalmos,Anophthalmos,365
"retinal necrosis syndrome, acute","Retinal Necrosis Syndrome, Acute",365
"micronuclei, chromosome-defective","Micronuclei, Chromosome-Defective",365
"tuberculoma, intracranial","Tuberculoma, Intracranial",364
murine acquired immunodeficiency syndrome,Murine Acquired Immunodeficiency Syndrome,364
"rhabdomyosarcoma, alveolar","Rhabdomyosarcoma, Alveolar",364
laryngismus,Laryngismus,364
bird fancier's lung,Bird Fancier's Lung,364
"rhinitis, atrophic","Rhinitis, Atrophic",364
eisenmenger complex,Eisenmenger Complex,364
hypothalamic neoplasms,Hypothalamic Neoplasms,363
tauopathies,Tauopathies,363
vulvitis,Vulvitis,363
mptp poisoning,MPTP Poisoning,362
leukemoid reaction,Leukemoid Reaction,362
"hearing loss, high-frequency","Hearing Loss, High-Frequency",361
"lupus vasculitis, central nervous system","Lupus Vasculitis, Central Nervous System",361
"dermatitis, photoallergic","Dermatitis, Photoallergic",361
clonorchiasis,Clonorchiasis,360
port-wine stain,Port-Wine Stain,360
job's syndrome,Job's Syndrome,359
paronychia,Paronychia,358
acantholysis,Acantholysis,358
"bites, human","Bites, Human",358
neisseriaceae infections,Neisseriaceae Infections,357
gardner syndrome,Gardner Syndrome,356
echovirus infections,Echovirus Infections,355
lymphocele,Lymphocele,355
facial hemiatrophy,Facial Hemiatrophy,355
urolithiasis,Urolithiasis,355
pupil disorders,Pupil Disorders,354
eye hemorrhage,Eye Hemorrhage,354
"carcinoma, papillary, follicular","Carcinoma, Papillary, Follicular",353
"abortion, missed","Abortion, Missed",353
lyme neuroborreliosis,Lyme Neuroborreliosis,352
"syphilis, cardiovascular","Syphilis, Cardiovascular",351
gestational trophoblastic neoplasms,Gestational Trophoblastic Neoplasms,351
"neoplasms, vascular tissue","Neoplasms, Vascular Tissue",351
stiff-person syndrome,Stiff-Person Syndrome,351
lens subluxation,Lens Subluxation,351
"paget's disease, mammary","Paget's Disease, Mammary",350
porokeratosis,Porokeratosis,350
"papilloma, inverted","Papilloma, Inverted",349
"amputation, traumatic","Amputation, Traumatic",349
histiocytic sarcoma,Histiocytic Sarcoma,348
osteochondritis dissecans,Osteochondritis Dissecans,348
refsum disease,Refsum Disease,348
"tuberculosis, male genital","Tuberculosis, Male Genital",347
"neoplasms, fibrous tissue","Neoplasms, Fibrous Tissue",346
"meningitis, listeria","Meningitis, Listeria",345
"gastritis, hypertrophic","Gastritis, Hypertrophic",345
"ophthalmia, sympathetic","Ophthalmia, Sympathetic",345
ecchymosis,Ecchymosis,345
eye infections,Eye Infections,344
"poliomyelitis, bulbar","Poliomyelitis, Bulbar",344
brain stem infarctions,Brain Stem Infarctions,344
"aortic stenosis, subvalvular","Aortic Stenosis, Subvalvular",344
mucopolysaccharidosis iii,Mucopolysaccharidosis III,344
erysipelothrix infections,Erysipelothrix Infections,343
lordosis,Lordosis,342
choledocholithiasis,Choledocholithiasis,342
hepatopulmonary syndrome,Hepatopulmonary Syndrome,342
shy-drager syndrome,Shy-Drager Syndrome,342
uterine perforation,Uterine Perforation,342
malformations of cortical development,Malformations of Cortical Development,341
fournier gangrene,Fournier Gangrene,340
diastema,Diastema,340
amyloid neuropathies,Amyloid Neuropathies,340
"lymphangiectasis, intestinal","Lymphangiectasis, Intestinal",340
bile reflux,Bile Reflux,339
smith-lemli-opitz syndrome,Smith-Lemli-Opitz Syndrome,339
"hernia, femoral","Hernia, Femoral",339
"tuberculosis, cardiovascular","Tuberculosis, Cardiovascular",338
pedophilia,Pedophilia,338
phosphorus metabolism disorders,Phosphorus Metabolism Disorders,337
adrenal cortex diseases,Adrenal Cortex Diseases,337
"granuloma, lethal midline","Granuloma, Lethal Midline",336
protein c deficiency,Protein C Deficiency,336
neonatal abstinence syndrome,Neonatal Abstinence Syndrome,336
pityriasis,Pityriasis,336
sclerosis,Sclerosis,336
"leprosy, borderline","Leprosy, Borderline",335
pilonidal sinus,Pilonidal Sinus,335
"adenoma, liver cell","Adenoma, Liver Cell",335
spondylarthritis,Spondylarthritis,335
mallory-weiss syndrome,Mallory-Weiss Syndrome,335
asthenopia,Asthenopia,335
"jaundice, chronic idiopathic","Jaundice, Chronic Idiopathic",334
"tuberculosis, laryngeal","Tuberculosis, Laryngeal",333
goldenhar syndrome,Goldenhar Syndrome,333
cri-du-chat syndrome,Cri-du-Chat Syndrome,333
hyperlipoproteinemia type iii,Hyperlipoproteinemia Type III,333
"encephalomyelitis, equine","Encephalomyelitis, Equine",332
tooth resorption,Tooth Resorption,332
"head injuries, penetrating","Head Injuries, Penetrating",332
lymphangitis,Lymphangitis,332
actinobacillus infections,Actinobacillus Infections,331
"pneumonia, lipid","Pneumonia, Lipid",331
iridocyclitis,Iridocyclitis,331
nail-patella syndrome,Nail-Patella Syndrome,330
yellow fever,Yellow Fever,329
cataplexy,Cataplexy,329
"bulbar palsy, progressive","Bulbar Palsy, Progressive",328
"plaque, atherosclerotic","Plaque, Atherosclerotic",328
peroxisomal disorders,Peroxisomal Disorders,327
epiretinal membrane,Epiretinal Membrane,327
kidney cortex necrosis,Kidney Cortex Necrosis,327
hemoglobinuria,Hemoglobinuria,327
superior mesenteric artery syndrome,Superior Mesenteric Artery Syndrome,326
orbital pseudotumor,Orbital Pseudotumor,326
pityriasis rubra pilaris,Pityriasis Rubra Pilaris,326
laryngeal edema,Laryngeal Edema,325
erythromelalgia,Erythromelalgia,325
factor xiii deficiency,Factor XIII Deficiency,325
"keratosis, seborrheic","Keratosis, Seborrheic",324
"anemia, dyserythropoietic, congenital","Anemia, Dyserythropoietic, Congenital",322
"anemia, neonatal","Anemia, Neonatal",322
factor xi deficiency,Factor XI Deficiency,322
"rupture, spontaneous","Rupture, Spontaneous",322
"hyperostosis, cortical, congenital","Hyperostosis, Cortical, Congenital",321
foot deformities,Foot Deformities,321
hidradenitis suppurativa,Hidradenitis Suppurativa,320
sex cord-gonadal stromal tumors,Sex Cord-Gonadal Stromal Tumors,320
"neoplasm regression, spontaneous","Neoplasm Regression, Spontaneous",320
gastroschisis,Gastroschisis,320
oliguria,Oliguria,320
infectious bovine rhinotracheitis,Infectious Bovine Rhinotracheitis,319
"neoplasms, connective tissue","Neoplasms, Connective Tissue",319
"fibroma, ossifying","Fibroma, Ossifying",319
ocular hypotension,Ocular Hypotension,319
genomic instability,Genomic Instability,319
precursor t-cell lymphoblastic leukemia-lymphoma,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,318
capgras syndrome,Capgras Syndrome,318
htlv-ii infections,HTLV-II Infections,317
"mastocytosis, systemic","Mastocytosis, Systemic",316
angiokeratoma,Angiokeratoma,316
limbic encephalitis,Limbic Encephalitis,316
uterine cervical incompetence,Uterine Cervical Incompetence,316
vaginal fistula,Vaginal Fistula,316
pancoast syndrome,Pancoast Syndrome,315
gangliosidoses,Gangliosidoses,315
"heart failure, systolic","Heart Failure, Systolic",315
retropharyngeal abscess,Retropharyngeal Abscess,314
zygomycosis,Zygomycosis,314
mouth breathing,Mouth Breathing,314
acute disease,Acute Disease,314
neurocytoma,Neurocytoma,313
osteitis fibrosa cystica,Osteitis Fibrosa Cystica,313
shwartzman phenomenon,Shwartzman Phenomenon,313
hantavirus infections,Hantavirus Infections,312
gingival recession,Gingival Recession,312
bartonella infections,Bartonella Infections,311
erythema chronicum migrans,Erythema Chronicum Migrans,311
gastric dilatation,Gastric Dilatation,311
"goiter, substernal","Goiter, Substernal",311
hyperostosis,Hyperostosis,310
cor triatriatum,Cor Triatriatum,310
abetalipoproteinemia,Abetalipoproteinemia,310
zygomatic fractures,Zygomatic Fractures,310
hemoglobin sc disease,Hemoglobin SC Disease,309
cardiovirus infections,Cardiovirus Infections,308
"actinomycosis, cervicofacial","Actinomycosis, Cervicofacial",307
hiv wasting syndrome,HIV Wasting Syndrome,307
brenner tumor,Brenner Tumor,307
anterior compartment syndrome,Anterior Compartment Syndrome,307
pouchitis,Pouchitis,307
cadasil,CADASIL,307
rem sleep behavior disorder,REM Sleep Behavior Disorder,307
facial nerve injuries,Facial Nerve Injuries,306
trigeminal nerve diseases,Trigeminal Nerve Diseases,306
sertoli-leydig cell tumor,Sertoli-Leydig Cell Tumor,305
neurocutaneous syndromes,Neurocutaneous Syndromes,305
"hematoma, epidural, spinal","Hematoma, Epidural, Spinal",305
"adenoma, villous","Adenoma, Villous",304
arthus reaction,Arthus Reaction,304
silicotuberculosis,Silicotuberculosis,303
"ophthalmoplegia, chronic progressive external","Ophthalmoplegia, Chronic Progressive External",303
lateral medullary syndrome,Lateral Medullary Syndrome,303
"hematoma, subdural, chronic","Hematoma, Subdural, Chronic",303
amniotic band syndrome,Amniotic Band Syndrome,303
alagille syndrome,Alagille Syndrome,302
zellweger syndrome,Zellweger Syndrome,302
jaw fractures,Jaw Fractures,302
maxillary fractures,Maxillary Fractures,302
oral submucous fibrosis,Oral Submucous Fibrosis,301
"dermatitis, phototoxic","Dermatitis, Phototoxic",301
immune reconstitution inflammatory syndrome,Immune Reconstitution Inflammatory Syndrome,301
"sarcoma, endometrial stromal","Sarcoma, Endometrial Stromal",300
diaphragmatic eventration,Diaphragmatic Eventration,300
periodontal attachment loss,Periodontal Attachment Loss,300
skin abnormalities,Skin Abnormalities,300
"thyroiditis, subacute","Thyroiditis, Subacute",300
"nevus, epithelioid and spindle cell","Nevus, Epithelioid and Spindle Cell",299
"conjunctivitis, inclusion","Conjunctivitis, Inclusion",298
metaplasia,Metaplasia,298
"strongyle infections, equine","Strongyle Infections, Equine",297
salivary gland calculi,Salivary Gland Calculi,297
cheyne-stokes respiration,Cheyne-Stokes Respiration,297
sinoatrial block,Sinoatrial Block,297
choroid plexus neoplasms,Choroid Plexus Neoplasms,296
tympanic membrane perforation,Tympanic Membrane Perforation,296
fasciculation,Fasciculation,296
relapsing fever,Relapsing Fever,295
"leukemia, prolymphocytic","Leukemia, Prolymphocytic",295
"gastroenteritis, transmissible, of swine","Gastroenteritis, Transmissible, of Swine",294
"mixed tumor, mullerian","Mixed Tumor, Mullerian",294
"polycystic kidney, autosomal recessive","Polycystic Kidney, Autosomal Recessive",294
congenital disorders of glycosylation,Congenital Disorders of Glycosylation,294
parapsoriasis,Parapsoriasis,294
central nervous system viral diseases,Central Nervous System Viral Diseases,293
mouth abnormalities,Mouth Abnormalities,293
popliteal cyst,Popliteal Cyst,292
enchondromatosis,Enchondromatosis,292
"renal tubular transport, inborn errors","Renal Tubular Transport, Inborn Errors",292
pre-excitation syndromes,Pre-Excitation Syndromes,292
struma ovarii,Struma Ovarii,291
miller fisher syndrome,Miller Fisher Syndrome,291
pc12 cells,PC12 Cells,291
migraine without aura,Migraine without Aura,290
duane retraction syndrome,Duane Retraction Syndrome,290
peanut hypersensitivity,Peanut Hypersensitivity,290
labor pain,Labor Pain,289
tangier disease,Tangier Disease,289
respiratory tract fistula,Respiratory Tract Fistula,287
"cardiomyopathy, hypertrophic, familial","Cardiomyopathy, Hypertrophic, Familial",287
kallmann syndrome,Kallmann Syndrome,286
near drowning,Near Drowning,286
gingival overgrowth,Gingival Overgrowth,285
rothmund-thomson syndrome,Rothmund-Thomson Syndrome,285
"histiocytoma, malignant fibrous","Histiocytoma, Malignant Fibrous",284
iritis,Iritis,284
tick-borne diseases,Tick-Borne Diseases,283
"sexually transmitted diseases, bacterial","Sexually Transmitted Diseases, Bacterial",283
medullary sponge kidney,Medullary Sponge Kidney,283
"candidiasis, chronic mucocutaneous","Candidiasis, Chronic Mucocutaneous",281
